Year,Latitude,Longitude,Earthquake Magnitude,Distance From Source (km),Max Water Height (m)
-2.1766323005775687,-1.1825098798831393,-1.1875639514539358,-0.40000326195807123,-0.28338922004992867,0.06738364506283394
-2.1766323005775687,-1.275898805848935,-1.6667350099904585,-0.40000326195807123,-0.371493909549447,1.4838749320116655
-2.175703491506303,-0.7030851717887996,-1.3885851801079616,-1.4933173124778716,-0.43891293239479456,1.1317259522460548
-2.1755370158600225,-1.5289655879237893,-1.6674463462366533,-1.4933173124778716,1.0889584092254054,0.8438282100346425
-2.1732402160305813,-1.4277400574345394,-2.0723393009391944,-1.766572648908029,-0.4258269135138745,0.7325481970456843
-2.173180893413775,-1.045146823735441,-1.343176191802062,-1.7256354493101114,-0.4573316359069705,0.8989355847410114
-2.1719126070681085,-2.0130551142803457,-2.166808743222843,-1.7256354493101114,-0.3254616573879273,0.7301258373287288
-2.1698288017596075,-0.5130588459496269,-0.008897495661754806,-2.1316506644211852,0.05480116509474838,-0.27519201764516016
-2.1698288017596075,-0.5802933329941212,-0.03841620084084403,-2.114613646575335,-0.017254182341948025,0.16189797721166277
-2.1698288017596075,0.665681074335047,0.46560925881607046,-2.1150468156683275,-0.16923027617008465,0.2593085806561663
-2.1698288017596075,-0.6866129863945354,-0.0014272955470953574,-2.1102490966843686,-0.021813780461769763,0.18197227197989913
-2.1685756122363835,-0.948245858277825,-0.2880548241775957,-0.9014002664727465,-0.41888925394359156,1.3802242576428643
-2.166370333204846,0.3066161869944122,-0.27234166051336406,-1.4933173124778716,-0.44721949504858244,1.1030744215941657
-2.166014509175232,-1.8784290332424056,-2.0354336780943205,-2.218224643062205,0.6230709034362836,-1.9821711467469423
-2.165438618715536,-0.3671656235251241,-0.7890555229424844,-1.4933173124778716,-0.4665800856497252,1.0586747049552578
-2.16500130433486,-0.3757532070938225,0.07934883755127674,-0.13888279957913793,-0.25537599728220317,1.512190435105077
-2.16500130433486,-0.014025723805957166,0.13290698338888013,-0.13888279957913793,-0.29064479236699275,1.5153066648133717
-2.16500130433486,-0.003425331630005017,0.11943160411106797,-0.13888279957913793,-0.2890985997095626,1.514970785488112
-2.16500130433486,0.4964009977321242,0.5822188800763255,-0.13888279957913793,-0.31339013241321606,1.5254816334518928
-2.16500130433486,-1.2134753637709847,-1.3517812747653637,-0.13888279957913793,0.043501320171018786,1.4412825793852322
-2.163660817159596,-0.12326265600966174,-0.5217366702480264,-1.7256354493101114,-0.3918776719801006,0.3330264054170229
-2.163660817159596,-0.8489889048766429,-0.349485377561455,-0.13888279957913793,-0.15912374987578554,1.4880993481808238
-2.163660817159596,-1.045146823735441,-1.343176191802062,-0.13888279957913793,-0.34126261897311394,1.4531317558468793
-2.160925107688483,-1.2095589676820302,-1.0767326863257496,-1.4933173124778716,-0.4665800856497252,-0.27519201764516016
-2.1516290419066513,-0.953145345039748,-1.8236749111910147,-1.2002381349318454,-0.42036229978877326,1.1918455526512313
-2.1516290419066513,-1.017108873015586,-1.9458740847134743,-1.2002381349318454,-0.44458426402825535,1.1918455526512313
-2.145076055478462,0.346949300902051,0.5822188800763255,-1.4933173124778716,-0.348819642978996,-0.27519201764516016
-2.144165097893131,-1.0163132851446741,-0.9902354702229332,-0.40000326195807123,-0.40561400471728115,0.8658626383455885
-2.144165097893131,-0.9994012426623271,-1.1095606019180737,-0.40000326195807123,-0.3764000766338172,1.3147712366672117
-2.144165097893131,-0.9285888316867139,-0.6915898901475965,-0.40000326195807123,-0.3621983756540106,1.337205088213557
-2.144165097893131,-0.9928595679394786,-1.114238910498457,-0.40000326195807123,-0.37381594192995443,0.5454365284917162
-2.144165097893131,-0.9969796043312443,-0.740931956715626,-0.40000326195807123,-0.38815201527153304,1.3356731353239537
-2.143819328156757,-1.3902475074019995,-1.3117800666381578,-0.40000326195807123,-0.4665800856497252,1.3024111305161945
-2.1243473375752977,-0.8467270560079623,-0.3793926081811132,-1.4933173124778716,-0.4518668213323279,0.710854613096737
-2.1243473375752977,-0.8532577668942243,-0.3743447688957463,-1.4933173124778716,-0.45223905111025214,0.7113090046399873
-2.1216917782166536,0.6684529543238238,0.47602359535497896,-1.4933173124778716,-0.10255306015778946,0.7207062932831746
-2.1216917782166536,0.6358292620952746,0.49091171778580717,-1.4933173124778716,-0.1063115977707213,0.7219148645797597
-2.1216917782166536,0.23067306756538503,0.43193161636190247,-1.2002381349318454,-0.31903994016242454,0.983268620965068
-2.1216917782166536,-0.8740342611413889,-0.3941547027461773,-1.4933173124778716,-0.4665800856497252,0.6905510256159055
